year	round	plotid	plant	VWC.plant	VWC.sm	photosynthesis	conductance	WUE	flowered	survived	RGR
2018	2018-07-17	6D	70		7.68	19.269140385	0.4289277469	45.02	1	1	3.2201124032219344
2018	2018-07-27	1B	667		4.7	6.1406542155	0.037976645615	162.126	0	0	
2018	2018-07-27	1C	57		2.6999999999999997	4.870760534	0.02337957661	206.799	0	1	-0.14005509365905114
2018	2018-07-27	1D	24		3.5	6.313014103	0.04818314976	130.428	0	1	
2018	2018-07-27	2A	167		3.2	11.74720639	0.084684736245	138.549	0	1	0.5296823541385841
2018	2018-07-27	2B	130		2.82	19.760319215	0.1135804021	173.801	1	1	
2018	2018-07-27	2C	272		2.5	6.300992523	0.033869293665	186.369	0	1	-0.628221960068524
2018	2018-07-27	2D	187		6.720000000000001	50.136275505	0.9092889684	55.335	0	1	0.4519577521737656
2018	2018-07-27	3A	647		2.52	22.768819215	0.1085792577	210.168	0	1	
2018	2018-07-27	3B	608		3.1999999999999997	23.18180722	0.182490595	127.133	0	1	1.0765915942747704
2018	2018-07-27	3C	153		5.36	17.654486115	0.13820242215	127.864	0	1	3.6197303096860223
2018	2018-07-27	4A	109		6.92	33.52866284	0.43676704245	80.374	0	1	3.3469987167759556
2018	2018-07-27	4B	180		1.82	2.766281507	0.028135634415	98.648	0	0	
2018	2018-07-27	4C	115		2.92	10.370119415	0.04808245485	216.181	1	1	0.2925392404690073
2018	2018-07-27	4D	47		2.08	18.040854415	0.14579183085	125.94	0	1	2.723147002713372
2018	2018-07-27	5A	174		4.64	15.46013548	0.101018280955	153.282	0	0	
2018	2018-07-27	5B	11		3.54	10.773739	0.04778945721	225.442	0	1	
2018	2018-07-27	5D	234		2.02	27.600112615	0.127818	216.026	1	1	
2018	2018-07-27	6B	5		3.96	5.104647862	0.0236024684	216.269	1	1	1.6130285090427061
2018	2018-07-27	6C	108		2.74	20.0303427	0.1793344501	111.665	1	1	
2018	2018-07-27	6D	60		6.02	17.301606325	0.42163758145	41.041	0	0	
2019	2019-08-08	1A	249	6.4	5.5	4.9446	0.28493	17.483	0	1	-0.1386893750433816
2019	2019-08-08	1B	660	6.2		18.9398	0.60936	31.081	0	1	
2019	2019-08-08	1C	55	3.7		27.0056	0.26286	103.027	0	1	
