year	round	day	plotid	plant	VWC.sm	sla	trichome_density	water_content	survived	RGR	flowered
2018	1	164	3C	181	4.5600000000000005	147.3229706390328	239.15592028135993	0.6643478260869565	1	2.961530890485456	0
2018	1	164	3D	866	3.22	140.10624169986718	264.45497630331755	0.6875518672199171	0		0
2018	1	164	3D	869	3.22	142.51781472684084	298.33333333333337	0.7174496644295302	0		0
2018	1	164	3D	875	3.22	147.97687861271677	158.203125	0.7406296851574213	1		0
2018	1	164	3D	894	3.22	171.11111111111111	102.27272727272728	0.7503467406380028	1	-0.7510693317127479	0
2018	1	164	4A	104	4.46	144.3952802359882	52.09397344228805	0.7621052631578948	0		0
2018	1	164	4A	109	4.46	151.44596651445966	106.53266331658291	0.7336846372111877	1	3.3469987167759556	0
2018	1	164	4A	62	4.46	167.90322580645162	138.328530259366	0.7266313932980599	1		0
2018	1	164	4A	89	4.46	154.81239804241434	297.15489989462594	0.7381460914139256	1	2.644890676567018	1
2018	1	164	4B	172	2.1	159.35582822085888	112.6082771896054	0.7284464806330695	1		0
2018	1	164	4B	187	2.1	164.75195822454307	107.76545166402535	0.7482747288859678	1	-0.5441979080279915	0
2018	1	164	4B	190	2.1	162.06509539842872	139.196675900277	0.7475920679886685	1	0.6400038255298649	0
2018	1	164	4B	206	2.1	153.82374362709396	151.98863636363635	0.7434603886397608	1		0
2018	1	164	4C	107	2.416	170.79482439926065	169.91341991341992	0.7394026974951831	1		0
2018	1	164	4C	195	2.416	158.51755526658	240.36095159967184	0.7433244325767691	1	-1.2131521037231696	0
2018	1	164	4C	36	2.416	82.59615384615385	44.23748544819558	0.5191863153028202	1	-0.14241892800150308	1
2018	1	164	4C	630	2.416	132.95964125560536	162.73187183811132	0.7152888605170762	1	0.33633390038269706	0
2018	1	164	4D	30	2.14	177.15930902111324	89.92416034669556	0.7056497175141243	1	1.8779830368638644	0
2018	1	164	4D	39	2.14	163.5135135135135	280.3030303030303	0.7429811866859624			
2018	1	164	4D	51	2.14	210.6578947368421	206.1211742660837	0.739010989010989	1	-0.6910758887073051	0
2018	1	164	4D	56	2.14	162.41970021413277	370.4680290046144	0.7675460428073668	1	-1.4733624134857854	0
2018	1	164	5A	177	3.1999999999999997	153.2818532818533	177.58186397984886	0.7091521617069062	0		0
2018	1	164	5A	179	3.1999999999999997	134.8148148148148	207.22135007849292	0.7	1	3.579240275933452	1
2018	1	164	5A	191	3.1999999999999997	135.84474885844747	183.19327731092437	0.7155844155844155	1	-0.9994968310712149	0
2018	1	164	5A	192	3.1999999999999997	168.61111111111111	23.064250411861615	0.698744769874477	1	1.5247503859339377	0
2018	1	164	5B	1	2.54	126.57430730478589	352.2388059701493	0.7142857142857143	1		1
2018	1	164	5B	11	2.54	170.08849557522123	232.04994797086368	0.7583404619332764	1		0
2018	1	164	5B	24	2.54	141.57142857142856	114.02623612512613	0.7368421052631579			
